name,formattedAddress,location,displayName,websiteUri
places/ChIJ02NZJUpbwokR3lx0YungABM,"203B Canal St, New York, NY 10013, USA","{'latitude': 40.7172744, 'longitude': -73.9986373}","{'text': 'Gift and Souvenirs', 'languageCode': 'en'}",
places/ChIJAQBwaxdawokRi4WB0RKICnc,"76 Trinity Pl, New York, NY 10006, USA","{'latitude': 40.708657599999995, 'longitude': -74.0125382}","{'text': 'Trinity Gift Shop', 'languageCode': 'en'}",http://www.trinitygiftshopnyc.com/
places/ChIJVTLAeydawokRuxKhD4xNG-c,"106 Mulberry St, New York, NY 10013, USA","{'latitude': 40.717332299999995, 'longitude': -73.9981743}","{'text': 'NY Gift Shop', 'languageCode': 'en'}",
places/ChIJB0mPEE5awokRFCveD5V3X_0,"127 Smith St, Brooklyn, NY 11201, USA","{'latitude': 40.687495299999995, 'longitude': -73.989775}","{'text': 'Exit9 Gift Emporium Brooklyn', 'languageCode': 'en'}",http://www.shopexit9.com/
places/ChIJL1FyijZEwokRmBZA9RQXrEg,"Brooklyn, NY 11224, USA","{'latitude': 40.573473799999995, 'longitude': -73.9759191}","{'text': 'Oceanic Gift Shop', 'languageCode': 'en'}",
places/ChIJeX8yDDlFwokRiFjSmkevG2M,"1230 65th St, Brooklyn, NY 11219, USA","{'latitude': 40.6266768, 'longitude': -74.0031612}","{'text': 'Regina Gift Shop', 'languageCode': 'en'}",
places/ChIJX7qEQCtbwokRJCU-670xAIQ,"55 Mott St, New York, NY 10013, USA","{'latitude': 40.7158176, 'longitude': -73.99850289999999}","{'text': 'Maayer Dua gift shop', 'languageCode': 'en'}",
places/ChIJO8IrQuJawokRBAv-BDReZWY,"449 7th Ave #1, Brooklyn, NY 11215, USA","{'latitude': 40.662848, 'longitude': -73.984623}","{'text': 'Homebody Boutique', 'languageCode': 'en'}",https://homebody-boutique.myshopify.com/
places/ChIJbTxpoBpbwokRAm09lsCvmL0,"1016 8th Ave, Brooklyn, NY 11215, USA","{'latitude': 40.6648886, 'longitude': -73.9801607}","{'text': 'RIDER', 'languageCode': 'en'}",http://www.ridergifts.com/
places/ChIJDRUNerhbwokR9jxEsX-tr_M,"388 Myrtle Ave, Brooklyn, NY 11205, USA","{'latitude': 40.6930426, 'longitude': -73.97041109999999}","{'text': '21 Tara', 'languageCode': 'en'}",http://www.21tarabrooklyn.net/
places/ChIJM3G6vrBLwokRH-IwOKL2lpQ,"Staten Island, NY 10301, USA","{'latitude': 40.5795317, 'longitude': -74.1502007}","{'text': 'Holly Jolly Gift Shop', 'languageCode': 'en'}",https://www.hollyjollygiftshop.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=12142784322609301003
places/ChIJbWH1CcZOwokRk4LlCE9RUek,"1854 Hylan Blvd, Staten Island, NY 10305, USA","{'latitude': 40.583812699999996, 'longitude': -74.0945244}","{'text': 'Edible Arrangements', 'languageCode': 'en'}",https://www.ediblearrangements.com/stores/1854-hylan-blvd-staten-island-ny-10305
places/ChIJVVVVVTRawokRElZ3-sJDKv4,"302 Court St, Brooklyn, NY 11231, USA","{'latitude': 40.6839471, 'longitude': -73.99539419999999}","{'text': 'Woods Grove', 'languageCode': 'en'}",http://www.woodsgrove.com/
places/ChIJT6QSZSJFwokRwpvH5_CKnOI,"6606 18th Ave, Brooklyn, NY 11204, USA","{'latitude': 40.6184262, 'longitude': -73.9910924}","{'text': '(New) 99¢ & Up Gift Shop LLC', 'languageCode': 'en'}",
places/ChIJRc7vM391cVMRMRIbkGui-w0,"Shannon Cir SW #150, Calgary, AB T2Y 2L1, Canada","{'latitude': 50.913653599999996, 'longitude': -114.08770299999999}","{'text': 'The Gift Manor', 'languageCode': 'en'}",
places/ChIJqQfux6BLwokRuraCAGNlh2E,"3277 Richmond Ave, Staten Island, NY 10312, USA","{'latitude': 40.5595055, 'longitude': -74.1684355}","{'text': 'Tobacco & Gift Emporium', 'languageCode': 'en'}",
places/ChIJ6_Wucy1vcVMRkLQ_J_6AVXc,"225 8 Ave SW, Calgary, AB T2P 1B7, Canada","{'latitude': 51.0454106, 'longitude': -114.06698680000001}","{'text': 'Calgary Souvenirs & Gift Shop', 'languageCode': 'en'}",http://www.calgarysouvenirs.com/
places/ChIJGzy04IYxwokRGxzg5uM1wc0,"186 Monmouth St &, Bridge Ave, Red Bank, NJ 07701, USA","{'latitude': 40.348882599999996, 'longitude': -74.0746954}","{'text': 'Emma’s Gift Shop & Jewelry', 'languageCode': 'en'}",
places/ChIJd-2Uu4BLwokRFjgT9bNzFFc,"2655 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.5821387, 'longitude': -74.166178}","{'text': 'East Meets West', 'languageCode': 'en'}",http://eastmeetswestusa.com/
places/ChIJ274wwct2cVMRt3SDYWZSX-w,"100 Anderson Rd SE, Calgary, AB T2J 3V1, Canada","{'latitude': 50.9530204, 'longitude': -114.0647759}","{'text': 'Twisted Goods', 'languageCode': 'en'}",https://twistedgoods.ca/
places/ChIJv65FnaxLwokRyrOCkC26g2o,"12 Eltingville Blvd, Staten Island, NY 10312, USA","{'latitude': 40.544832799999995, 'longitude': -74.16503440000001}","{'text': ""Kitty's & Family Florist Inc."", 'languageCode': 'en'}",http://www.afamilyflorist.com/
places/ChIJH_QETIBLwokRoYPH_gfJUek,"2655 Richmond Ave, Staten Island, NY 10314, USA","{'latitude': 40.58129280000001, 'longitude': -74.1648964}","{'text': 'Go! Calendars, Toys & Games', 'languageCode': 'en'}",http://www.goretailgroup.com/
places/ChIJc1NJFGREwokRyIxUfqL4LiQ,"1658 Sheepshead Bay Rd, Brooklyn, NY 11235, USA","{'latitude': 40.5864098, 'longitude': -73.95250709999999}","{'text': 'Amore Gifts', 'languageCode': 'en'}",
places/ChIJgzUIExVbwokRIV4RTxQ6m20,"992 4th Ave, Brooklyn, NY 11232, USA","{'latitude': 40.6530321, 'longitude': -74.00605}","{'text': 'One stop gift shop', 'languageCode': 'en'}",
places/ChIJ9eIxfjFbwokRMGmBV50Jajs,"1004 Cortelyou Rd, Brooklyn, NY 11218, USA","{'latitude': 40.6392617, 'longitude': -73.9684917}","{'text': 'Brooklyn Artery', 'languageCode': 'en'}",http://www.brooklynartery.com/
places/ChIJOUufNVRawokRsR6Lq0jrmDc,"567 Union St, Brooklyn, NY 11215, USA","{'latitude': 40.6790084, 'longitude': -73.9866071}","{'text': 'From Here to Sunday', 'languageCode': 'en'}",http://heretosunday.com/
places/ChIJ6X10p6hZwokRIINpaU-DsBQ,"63 Meserole Ave, Brooklyn, NY 11222, USA","{'latitude': 40.7265715, 'longitude': -73.9549519}","{'text': 'Souvenir', 'languageCode': 'en'}",https://www.instagram.com/souvenirbrooklyn/
places/ChIJ3X2NrypbwokRLAdndR5ZS3Y,"2255 Bedford Ave, Brooklyn, NY 11226, USA","{'latitude': 40.648945, 'longitude': -73.955499}","{'text': ""Taleen's Discount & Gift Shop"", 'languageCode': 'en'}",http://www.taleengiftshop.com/
places/ChIJkQMEiJhbwokRTycLVKm2WvA,"353 7th Ave, Brooklyn, NY 11215, USA","{'latitude': 40.6660201, 'longitude': -73.9820273}","{'text': ""Leroy's Place"", 'languageCode': 'en'}",http://www.leroysplace.com/
places/ChIJ8xfjY1hawokRspy_U0kQCdM,"262 Court St, Brooklyn, NY 11231, USA","{'latitude': 40.685088199999996, 'longitude': -73.9948711}","{'text': 'Wanderlustre', 'languageCode': 'en'}",https://wanderlustre.com/
places/ChIJg-7KaNTINI8R5qhEyQfiKPc,"Maybury Ave, Staten Island, NY 10308, USA","{'latitude': 40.5483732, 'longitude': -74.1411962}","{'text': 'AlternativeBabyCakes', 'languageCode': 'en'}",http://alternativebabycakes.com/
places/ChIJOzIewIJZwokRlex7MS_C-hQ,"51 Avenue A, New York, NY 10009, USA","{'latitude': 40.7238956, 'longitude': -73.98528979999999}","{'text': 'Exit9 Gift Emporium', 'languageCode': 'en'}",https://www.shopexit9.com/
places/ChIJZS-NpkBZwokR1ulmYGPHkHQ,"927 Manhattan Ave, Brooklyn, NY 11222, USA","{'latitude': 40.7310825, 'longitude': -73.9546087}","{'text': ""Faruque's Gift Shop"", 'languageCode': 'en'}",
places/ChIJWbqlPk1awokRaFYBVmkxNLE,"232 5th Ave, Brooklyn, NY 11215, USA","{'latitude': 40.6756829, 'longitude': -73.9811344}","{'text': ""Annie's Blue Ribbon General Store"", 'languageCode': 'en'}",http://blueribbongeneralstore.com/
